sku_id,item_name,unit_price
LIN-EQUIP-1043,Industrial Component v3,1413.43
LIN-EQUIP-1005,Industrial Component v3,1372.3
LIN-EQUIP-1083,[UPDATED] Modified Variant Data,7006.05
LIN-EQUIP-1085,Industrial Component v1,968.89
LIN-EQUIP-1077,Industrial Component v4,1036.18
LIN-EQUIP-1012,Industrial Component v1,749.98
LIN-EQUIP-1031,Industrial Component v2,2127.52
LIN-EQUIP-1001,Industrial Component v4,1589.37
LIN-EQUIP-1018,Industrial Component v4,804.66
LIN-EQUIP-1019,Industrial Component v2,845.81
LIN-EQUIP-1094,Industrial Component v3,958.02
LIN-EQUIP-1020,Industrial Component v2,1805.17
LIN-EQUIP-1057,Industrial Component v1,1932.77
LIN-EQUIP-1061,Industrial Component v4,1725.44
LIN-EQUIP-1086,Industrial Component v1,832.5
LIN-EQUIP-1040,Industrial Component v5,556.67
LIN-EQUIP-1021,Industrial Component v1,1047.92
LIN-EQUIP-1008,Industrial Component v3,2167.75
LIN-EQUIP-1083,Industrial Component v2,68.63
LIN-EQUIP-1025,Industrial Component v5,1302.23
LIN-EQUIP-1080,Industrial Component v4,327.66
LIN-EQUIP-1004,Industrial Component v4,627.07
LIN-EQUIP-1013,Industrial Component v3,106.25
LIN-EQUIP-1010,Industrial Component v1,2340.49
LIN-EQUIP-1078,Industrial Component v1,868.82
LIN-EQUIP-1033,Industrial Component v4,1008.93
LIN-EQUIP-1024,Industrial Component v2,1603.39
LIN-EQUIP-1092,Industrial Component v3,596.08
LIN-EQUIP-1068,Industrial Component v1,977.69
LIN-EQUIP-1053,Industrial Component v1,1082.24
LIN-EQUIP-1014,Industrial Component v5,987.18
LIN-EQUIP-1056,Industrial Component v5,1276.2
LIN-EQUIP-1006,Industrial Component v3,1892.26
LIN-EQUIP-1029,Industrial Component v2,807.71
LIN-EQUIP-1093,Industrial Component v3,1066.14
LIN-EQUIP-1030,Industrial Component v5,2297.02
LIN-EQUIP-1076,Industrial Component v4,2117.08
LIN-EQUIP-1047,Industrial Component v4,365.81
LIN-EQUIP-1070,Industrial Component v1,2353.94
LIN-EQUIP-1099,Industrial Component v5,1437.58
LIN-EQUIP-1066,Industrial Component v1,935.21
LIN-EQUIP-1002,Industrial Component v1,1376.3
LIN-EQUIP-1091,Industrial Component v1,2132.92
LIN-EQUIP-1041,Industrial Component v1,2036.87
LIN-EQUIP-1000,Industrial Component v3,432.76
LIN-EQUIP-1081,[UPDATED] Modified Variant Data,5601.16
